waste,-1.0
worst,-1.0
refund,-1.0
defective,-1.0
warranty,-1.0
repair,-1.0
return,-1.0
message,-1.0
useless,-1.0
stopped,-1.0
returning,-1.0
returned,-1.0
worse,-1.0
terrible,-1.0
happened,-1.0
called,-1.0
customer,-1.0
support,-1.0
avoid,-1.0
failed,-1.0
error,-1.0
unfortunately,-1.0
company,-1.0
broken,-1.0
later,-1.0
seller,-1.0
manufacturer,-1.0
service,-1.0
lasted,-1.0
months,-1.0
broke,-1.0
response,-1.0
hoping,-1.0
stuck,-1.0
apart,-1.0
received,-1.0
started,-1.0
email,-1.0
totally,-1.0
firmware,-1.0
barely,-1.0
ended,-1.0
nothing,-1.0
completely,-1.0
description,-1.0
static,-1.0
today,-1.0
disappointed,-1.0
tried,-1.0
products,-1.0
matter,-1.0
twice,-1.0
replaced,-1.0
saying,-1.0
within,-1.0
cartridge,-1.0
seemed,-1.0
guess,-1.0
thinking,-1.0
spent,-1.0
piece,-1.0
properly,-1.0
maybe,-1.0
times,-1.0
website,-1.0
replacement,-1.0
either,-1.0
working,-1.0
phone,-1.0
money,-1.0
worked,-1.0
number,-1.0
another,-1.0
process,-1.0
cartridges,-1.0
trying,-1.0
compatible,-1.0
hardware,-1.0
driver,-1.0
weeks,-1.0
finally,-1.0
eventually,-1.0
something,-1.0
local,-1.0
experience,-1.0
seconds,-1.0
never,-1.0
check,-1.0
charge,-1.0
printer,-1.0
least,-1.0
replace,-1.0
month,-1.0
anything,-1.0
print,-1.0
given,-1.0
parts,-1.0
drivers,-1.0
loved,-1.0
fixed,-1.0
paper,-1.0
amazon,-1.0
turned,-1.0
thought,-1.0
three,-1.0
minutes,-1.0
solution,-1.0
hours,-1.0
third,-1.0
different,-1.0
problem,-1.0
brand,-1.0
plugged,-1.0
connection,-1.0
nearly,-1.0
directly,-1.0
router,-1.0
machine,-1.0
printing,-1.0
entire,-1.0
spend,-1.0
whole,-1.0
buying,-1.0
cheap,-1.0
ordered,-1.0
unless,-1.0
going,-1.0
basically,-1.0
several,-1.0
function,-1.0
longer,-1.0
playing,-1.0
break,-1.0
order,-1.0
immediately,-1.0
reviews,-1.0
first,-1.0
making,-1.0
second,-1.0
remove,-1.0
signal,-1.0
someone,-1.0
amount,-1.0
package,-1.0
wrong,-1.0
annoying,-1.0
short,-1.0
could,-1.0
suggest,-1.0
whether,-1.0
reliable,-1.0
stations,-1.0
rating,-1.0
giving,-1.0
instead,-1.0
station,-1.0
almost,-1.0
software,-1.0
thing,-1.0
issue,-1.0
device,-1.0
reception,-1.0
simply,-1.0
recording,-1.0
difficult,-1.0
would,-1.0
start,-1.0
product,-1.0
considering,-1.0
already,-1.0
apple,-1.0
similar,-1.0
charging,-1.0
supposed,-1.0
bought,-1.0
units,-1.0
original,-1.0
network,-1.0
windows,-1.0
update,-1.0
problems,-1.0
media,-1.0
probably,-1.0
purchased,-1.0
drive,-1.0
shipping,-1.0
model,-1.0
might,-1.0
major,-1.0
design,-1.0
player,-1.0
download,-1.0
expect,-1.0
drives,-1.0
figured,-1.0
trouble,-1.0
allow,-1.0
since,-1.0
person,-1.0
otherwise,-1.0
limited,-1.0
designed,-1.0
actually,-1.0
sometimes,-1.0
provide,-1.0
correct,-1.0
program,-1.0
devices,-1.0
shipped,-1.0
course,-1.0
absolutely,-1.0
access,-1.0
understand,-1.0
still,-1.0
single,-1.0
except,-1.0
purpose,-1.0
extremely,-1.0
however,-1.0
record,-1.0
reason,-1.0
dollars,-1.0
getting,-1.0
purchase,-1.0
noticed,-1.0
players,-1.0
often,-1.0
reviewers,-1.0
purchasing,-1.0
switch,-1.0
review,-1.0
issues,-1.0
regular,-1.0
plastic,-1.0
button,-1.0
remote,-1.0
computer,-1.0
mentioned,-1.0
black,-1.0
seems,-1.0
coming,-1.0
liked,-1.0
mention,-1.0
normal,-1.0
point,-1.0
power,-1.0
others,-1.0
receiver,-1.0
every,-1.0
information,-1.0
radio,-1.0
transfer,-1.0
anyway,-1.0
better,-1.0
market,-1.0
important,-1.0
right,-1.0
means,-1.0
believe,-1.0
found,-1.0
results,-1.0
place,-1.0
display,-1.0
control,-1.0
shows,-1.0
store,-1.0
computers,-1.0
taking,-1.0
files,-1.0
reading,-1.0
turns,-1.0
option,-1.0
channel,-1.0
rather,-1.0
based,-1.0
screen,-1.0
people,-1.0
metal,-1.0
antenna,-1.0
desktop,-1.0
manual,-1.0
installed,-1.0
average,-1.0
stand,-1.0
monitor,-1.0
advertised,-1.0
batteries,-1.0
version,-1.0
outside,-1.0
heard,-1.0
years,-1.0
keyboard,-1.0
connect,-1.0
mouse,-1.0
headset,-1.0
possible,-1.0
buttons,0.0
certainly,1.0
laptop,1.0
noise,1.0
wireless,1.0
phones,1.0
connected,1.0
installation,1.0
stick,1.0
taken,1.0
output,1.0
expensive,1.0
change,1.0
worth,1.0
songs,1.0
think,1.0
business,1.0
provided,1.0
enough,1.0
though,1.0
bucks,1.0
previous,1.0
white,1.0
stereo,1.0
external,1.0
battery,1.0
instructions,1.0
inside,1.0
video,1.0
picture,1.0
cover,1.0
bottom,1.0
figure,1.0
decided,1.0
light,1.0
office,1.0
looks,1.0
attached,1.0
friend,1.0
level,1.0
expected,1.0
volume,1.0
consider,1.0
always,1.0
fully,1.0
audio,1.0
couple,1.0
available,1.0
arrived,1.0
decent,1.0
image,1.0
usually,1.0
including,1.0
stars,1.0
